date,bank,banknm,value
2016/10,SCSB,上海,1860844 
2016/10,CCBC,彰化,1831166 
2016/10,MBBT,台企銀,1492350 
2016/10,LBOT,土地,1130114 
2016/10,JSIB,日盛,1032437 
2016/10,RT,樂天,1006681 
2016/10,BKTW,台銀,865476 
2016/10,TCBB,台中,815880 
2016/10,SUNY,陽信,571210 
2016/10,AEON,永旺,454495 
2016/10,BKAO,高雄,174228 
2016/10,COBK,三信,156742 
2016/10,HTBK,華泰,75757 
2016/10,DBSS,星展,72385 
